case_id,mechanism_id,mechanism_label,status,variant_kind,ablation_slowdown,retained_performance_fraction,deployed_median_ms,ablated_median_ms,timed_samples_per_config,correctness_passed,completed_at,note
official_08,ffn_path,FFN path,not_applicable,not_applicable,,,,,,false,2026-09-01T00:34:37+00:00,The deployed program already uses the fallback path.
official_08,norm_boundary,Norm / boundary,not_applicable,not_applicable,,,,,,false,2026-09-01T00:34:37+00:00,The deployed program already uses the fallback path.
official_09,runtime_schedule,Runtime schedule,measured,atomic,5.531032446692,0.18079807154233568,0.2253119945526123,1.2462079524993896,25,true,2026-09-01T00:34:42+00:00,Outer capture or compilation is replaced by eager execution.
official_09,attention_path,Attention path,measured,atomic,1.0456621171442497,0.9563318624672423,0.2242559939622879,0.23449599742889404,25,true,2026-09-01T00:34:46+00:00,The deployed attention backend is replaced by generic causal SDPA.
official_09,layout_path,Layout path,measured,dependency_closure,1.1324201064947725,0.8830645042989761,0.2242559939622879,0.2539519965648651,25,true,2026-09-01T00:34:51+00:00,Native QKV materialization is replaced by a view when present. The fused BHSD output bridge is replaced by Torch layout conversion. The zero-copy linear boundary falls back to mixed norm. Its boundary-coupled FFN also falls back to Torch.
official_09,projection_precision,Projection precision,not_isolatable,dependency_coupled,,,,,,false,2026-09-01T00:34:51+00:00,"The specialized projection precision is active but coupled to the deployed Triton/layout path, so no clean single-family counterfactual exists."
official_09,ffn_path,FFN path,measured,atomic,1.1095890811461993,0.9012345353714238,0.2242559939622879,0.24883200228214264,25,true,2026-09-01T00:34:55+00:00,The deployed FFN implementation is replaced by the Torch exact-GELU path.
official_09,norm_boundary,Norm / boundary,measured,dependency_closure,1.97716904109853,0.5057736486933826,0.2242559939622879,0.4433920085430145,25,true,2026-09-01T00:35:00+00:00,Initial and residual norm specializations fall back to Torch. The boundary-fused output bridge is removed with linear norm. The residual-boundary FFN also falls back to Torch.
official_10,runtime_schedule,Runtime schedule,measured,atomic,4.606481517349756,0.2170854254453471,0.22118400037288666,1.018880009651184,25,true,2026-09-01T00:35:04+00:00,Outer capture or compilation is replaced by eager execution.
official_10,attention_path,Attention path,measured,atomic,1.0,1.0,0.22015999257564545,0.22015999257564545,25,true,2026-09-01T00:35:09+00:00,The deployed attention backend is replaced by generic causal SDPA.
official_10,layout_path,Layout path,measured,dependency_closure,1.134883737300154,0.8811475282736562,0.22015999257564545,0.24985599517822266,25,true,2026-09-01T00:35:13+00:00,Native QKV materialization is replaced by a view when present. The fused BHSD output bridge is replaced by Torch layout conversion. The zero-copy linear boundary falls back to mixed norm. Its boundary-coupled FFN also falls back to Torch.
official_10,projection_precision,Projection precision,not_isolatable,dependency_coupled,,,,,,false,2026-09-01T00:35:13+00:00,"The specialized projection precision is active but coupled to the deployed Triton/layout path, so no clean single-family counterfactual exists."
official_10,ffn_path,FFN path,measured,atomic,1.11162794853116,0.8995815563303723,0.22015999257564545,0.24473600089550018,25,true,2026-09-01T00:35:18+00:00,The deployed FFN implementation is replaced by the Torch exact-GELU path.
official_10,norm_boundary,Norm / boundary,measured,dependency_closure,1.9906977386390656,0.5023364323926177,0.22015999257564545,0.43827199935913086,25,true,2026-09-01T00:35:22+00:00,Initial and residual norm specializations fall back to Torch. The boundary-fused output bridge is removed with linear norm. The residual-boundary FFN also falls back to Torch.
official_11,runtime_schedule,Runtime schedule,measured,atomic,3.4427083936218073,0.29046898129759324,0.27033600211143494,0.9306880235671997,25,true,2026-09-01T00:35:27+00:00,Outer capture or compilation is replaced by eager execution.
official_11,attention_path,Attention path,measured,dependency_closure,1.4160306127878461,0.7061994217986748,0.2682879865169525,0.37990400195121765,25,true,2026-09-01T00:35:31+00:00,The deployed attention backend is replaced by generic causal SDPA. Its direct-BSD output contract is replaced with a legal bridge.
official_11,layout_path,Layout path,measured,partial,1.0572520139685064,0.9458482810038783,0.2682879865169525,0.2836480140686035,25,true,2026-09-01T00:35:36+00:00,Native QKV materialization is replaced by a view when present. Direct BSD output remains part of the Dh8 attention contract; this cell isolates only the QKV-side layout.
official_11,projection_precision,Projection precision,not_isolatable,dependency_coupled,,,,,,false,2026-09-01T00:35:36+00:00,"The specialized projection precision is active but coupled to the deployed Triton/layout path, so no clean single-family counterfactual exists."
official_11,ffn_path,FFN path,measured,atomic,1.0874524752697665,0.91958041637813,0.2693119943141937,0.29286399483680725,25,true,2026-09-01T00:35:41+00:00,The deployed FFN implementation is replaced by the Torch exact-GELU path.
official_11,norm_boundary,Norm / boundary,measured,dependency_closure,1.8129772209195234,0.5515789103477043,0.2682879865169525,0.4864000082015991,25,true,2026-09-01T00:35:45+00:00,Initial and residual norm specializations fall back to Torch. The residual-boundary FFN also falls back to Torch.
official_12,runtime_schedule,Runtime schedule,measured,atomic,10.052697699136631,0.0994757854984423,0.10262399911880493,1.03164803981781,25,true,2026-09-01T00:35:49+00:00,Outer capture or compilation is replaced by eager execution.
official_12,attention_path,Attention path,measured,atomic,1.0,1.0,0.10342399775981903,0.10342399775981903,25,true,2026-09-01T00:35:54+00:00,The deployed attention backend is replaced by generic causal SDPA.
official_12,layout_path,Layout path,measured,dependency_closure,1.210000003637979,0.826446278506947,0.10239999741315842,0.12390399724245071,25,true,2026-09-01T00:35:58+00:00,Native QKV materialization is replaced by a view when present. The fused BHSD output bridge is replaced by Torch layout conversion. The zero-copy linear boundary falls back to mixed norm. Its boundary-coupled FFN also falls back to Torch.
official_12,projection_precision,Projection precision,not_isolatable,dependency_coupled,,,,,,false,2026-09-01T00:35:58+00:00,"The specialized projection precision is active but coupled to the deployed Triton/layout path, so no clean single-family counterfactual exists."
official_12,ffn_path,FFN path,measured,atomic,1.0594059619918375,0.9439252145795503,0.10342399775981903,0.10956799983978271,25,true,2026-09-01T00:36:02+00:00,The deployed FFN implementation is replaced by the Torch exact-GELU path.
official_12,norm_boundary,Norm / boundary,measured,dependency_closure,1.8453865166525079,0.5418918968878015,0.10265599936246872,0.18943999707698822,25,true,2026-09-01T00:36:07+00:00,Initial and residual norm specializations fall back to Torch. The boundary-fused output bridge is removed with linear norm. The residual-boundary FFN also falls back to Torch.
official_13,runtime_schedule,Runtime schedule,not_applicable,not_applicable,,,,,,false,2026-09-01T00:36:07+00:00,The deployed program already uses the fallback path.
official_13,attention_path,Attention path,measured,dependency_closure,1.232745768144929,0.8111972686021292,3.427328109741211,4.225024223327637,25,true,2026-09-01T00:36:16+00:00,The deployed attention backend is replaced by generic causal SDPA. Its direct-BSD output contract is replaced with a legal bridge.
official_13,layout_path,Layout path,measured,atomic,1.005885791431298,0.9941486484037886,3.4795520305633545,3.5000319480895996,25,true,2026-09-01T00:36:25+00:00,Native QKV materialization is replaced by a view when present. Shape-13 direct BSD output is replaced by its BHSD/Torch path.
official_13,projection_precision,Projection precision,not_isolatable,dependency_coupled,,,,,,false,2026-09-01T00:36:25+00:00,"The specialized projection precision is active but coupled to the deployed Triton/layout path, so no clean single-family counterfactual exists."
official_13,ffn_path,FFN path,measured,atomic,1.010176601447606,0.9899259184651252,3.4211840629577637,3.4560000896453857,25,true,2026-09-01T00:36:34+00:00,The deployed FFN implementation is replaced by the Torch exact-GELU path.
official_13,norm_boundary,Norm / boundary,measured,atomic,1.4282680697802699,0.7001486773794808,3.3761279582977295,4.822015762329102,25,true,2026-09-01T00:36:44+00:00,Initial and residual norm specializations fall back to Torch.
